500,5276483.6632,316752.6738,0.0000,FIND - R1
501,5276483.2307,316752.1475,0.0000,FIND - R1
502,5276482.9518,316752.6697,0.0000,FIND - R1
503,5276486.7525,316755.6086,0.0000,FIND - R1
504,5276468.4819,316763.1689,0.0000,FIND - R1
505,5276447.8468,316743.6284,0.0000,FIND - R1
506,5276447.8480,316744.0859,0.0000,FIND - R1
507,5276440.7653,316742.4431,0.0000,FIND - R1
508,5276440.7665,316742.9006,0.0000,FIND - R1
509,5276529.4530,316766.9956,0.0000,FIND - R1
510,5276501.4113,316769.4951,0.0000,FIND - R1
511,5276411.1649,316751.5151,0.0000,FIND - R1
