0122001,5269653.505,312371.707,83.953,833297-CKS
0122002,5269653.492,312371.719,83.979,833297-CKS
0122010,5269792.066,312336.832,72.434,PIP PK
0122011,5269737.786,312373.389,73.460,PNF
0122100,5269764.616,312403.207,0.000,PNF
0122110,5269860.200,312373.857,55.085,PIP-MOVED
0122120,5269856.765,312368.164,56.429,PF
0122121,5269849.026,312355.671,58.681,PF
0122122,5269821.317,312384.263,58.566,PF
0122123,5269823.447,312387.604,56.625,PIP-MOVED
0122124,5269814.398,312372.925,61.173,PF
0122125,5269905.193,312353.775,53.686,PIP-MOVED
0122126,5269840.815,312342.580,64.990,PF
0122127,5269838.026,312337.973,68.999,PF
0122128,5269874.229,312279.898,73.885,FIP MCELLHANNEY-2019(?)
0122129,5269890.889,312276.651,71.360,PNF
0122130,5269878.711,312288.489,73.210,PIP-MOVED
833297,5269653.505,312371.707,82.883,83G3297
