100,5261880.6990,319588.0590,0.0000,FIND
101,5261906.1189,319616.6095,0.0000,FIND
102,5261893.2230,319624.2707,0.0000,FIND
103,5261875.1132,319593.7862,0.0000,FIND
200,5261886.9833,319581.6163,0.0000,FIND
201,5261916.0060,319610.7361,0.0000,FIND
202,5261885.3585,319628.9430,0.0000,FIND
203,5261868.4959,319600.5580,0.0000,FIND
204,5261892.2130,319576.2440,0.0000,FIND
205,5261927.4382,319603.9458,0.0000,FIND
206,5261877.4920,319633.6174,0.0000,FIND
207,5261861.5345,319606.7558,0.0000,FIND
208,5261869.3574,319599.6881,0.0000,FIND
209,5261891.4334,319577.0552,0.0000,FIND
